"name","lat","lon","sector"
"Alabama A  M University",34.783368,-86.568502,"Public"
"University of Alabama at Birmingham",33.50223,-86.80917,"Public"
"Amridge University",32.362609,-86.17401,"Private"
"University of Alabama in Huntsville",34.722818,-86.63842,"Public"
"Alabama State University",32.364317,-86.295677,"Public"
"The University of Alabama",33.2144,-87.545766,"Public"
"Athens State University",34.805625,-86.96514,"Public"
"Auburn University at Montgomery",32.369939,-86.177351,"Public"
"Auburn University",32.604685,-85.482782,"Public"
"Birmingham Southern College",33.515453,-86.853636,"Private"
"Concordia College Alabama",32.42443,-87.023531,"Private"
"Faulkner University",32.384181,-86.21641,"Private"
"Huntingdon College",32.350939,-86.285313,"Private"
"Heritage Christian University",34.859089,-87.662062,"Private"
"Jacksonville State University",33.822128,-85.766644,"Public"
"Judson College",32.630526,-87.316127,"Private"
"University of West Alabama",32.59244,-88.186077,"Public"
"Miles College",33.481306,-86.908605,"Private"
"University of Mobile",30.793247,-88.128934,"Private"
"University of Montevallo",33.10625,-86.865099,"Public"
"University of North Alabama",34.80658,-87.680999,"Public"
"Oakwood University",34.756628,-86.661628,"Private"
"Samford University",33.464578,-86.790932,"Private"
"Selma University",32.420358,-87.033826,"Private"
"University of South Alabama",30.695081,-88.18189,"Public"
"Spring Hill College",30.694751,-88.138199,"Private"
"Southeastern Bible College",33.378935,-86.749045,"Private"
"Stillman College",33.199228,-87.585242,"Private"
"Talladega College",33.434258,-86.113675,"Private"
"Troy University",31.800128,-85.950191,"Public"
"Tuskegee University",32.431021,-85.710315,"Private"
"United States Sports Academy",30.639329,-87.91163,"Private"
"University of Alaska Anchorage",61.189554,-149.826135,"Public"
"Alaska Bible College",61.59843,-149.111341,"Private"
"University of Alaska Fairbanks",64.856483,-147.822943,"Public"
"University of Alaska Southeast",58.38427,-134.636346,"Public"
"Alaska Pacific University",61.191235,-149.804242,"Private"
"Thunderbird School of Global Management",33.620887,-112.180861,"Public"
"American Indian College Inc",33.577738,-112.092247,"Private"
"CollegeAmericaFlagstaff",35.194607,-111.65739,"Private"
"Arizona State UniversityTempe",33.422247,-111.934629,"Public"
"University of Arizona",32.232071,-110.950769,"Public"
"EmbryRiddle Aeronautical UniversityPrescott",34.615678,-112.452285,"Private"
"Frank Lloyd Wright School of Architecture",33.60715,-111.846477,"Private"
"Dine College",36.293328,-109.21684,"Public"
"Northern Arizona University",35.180095,-111.657653,"Public"
"Ottawa UniversityPhoenix",33.57172,-112.113301,"Private"
"Prescott College",34.5445,-112.476509,"Private"
"Arizona Christian University",33.595117,-112.026211,"Private"
"University of Arkansas at Little Rock",34.726644,-92.341835,"Public"
"University of Arkansas for Medical Sciences",34.749718,-92.320945,"Public"
"Arkansas Baptist College",34.734751,-92.290555,"Private"
"Lyon College",35.778934,-91.628115,"Private"
"University of Arkansas",36.06153,-94.178214,"Public"
"University of Arkansas at Pine Bluff",34.242192,-92.021263,"Public"
"Arkansas State UniversityMain Campus",35.842779,-90.680478,"Public"
"Arkansas Tech University",35.295227,-93.13233,"Public"
"University of Arkansas at Monticello",33.589788,-91.812971,"Public"
"University of Central Arkansas",35.078196,-92.45931,"Public"
"Central Baptist College",35.084574,-92.444102,"Private"
"Crowleys Ridge College",36.066239,-90.58482,"Private"
"Harding University",35.249605,-91.729008,"Private"
"Henderson State University",34.127792,-93.060313,"Public"
"Hendrix College",35.09972,-92.442021,"Private"
"John Brown University",36.191077,-94.559088,"Private"
"Ouachita Baptist University",34.125045,-93.052442,"Private"
"University of the Ozarks",35.477785,-93.467924,"Private"
"Philander Smith College",34.73666,-92.28242,"Private"
"Williams Baptist College",36.126825,-90.939876,"Private"
"Southern Arkansas University Main Campus",33.291195,-93.235087,"Public"
"University of ArkansasFort Smith",35.385345,-94.374073,"Public"
"Academy of Chinese Culture and Health Sciences",37.806662,-122.272733,"Private"
"American Baptist Seminary of the West",37.865252,-122.256149,"Private"
"American Film Institute Conservatory",34.10846,-118.309989,"Private"
"American Conservatory Theater",37.787326,-122.404945,"Private"
"Art Center College of Design",34.170844,-118.186901,"Private"
"Azusa Pacific University",34.130865,-117.88795,"Private"
"Bethesda University",33.842295,-117.941323,"Private"
"Biola University",33.904823,-118.017342,"Private"
"Phillips Graduate Institute",34.24203,-118.567631,"Private"
"California Institute of Integral Studies",37.774768,-122.416537,"Private"
"California Baptist University",33.928569,-117.42587,"Private"
"California College of the Arts",37.76723,-122.399941,"Private"
"University of CaliforniaHastings College of Law",37.780718,-122.415395,"Public"
"California Institute of Technology",34.139275,-118.12574,"Private"
"California Lutheran University",34.225551,-118.879467,"Private"
"California Polytechnic State UniversitySan Luis Obispo",35.29889,-120.65856,"Public"
"California State UniversityBakersfield",35.350005,-119.104711,"Public"
"California State UniversityStanislaus",37.52577,-120.852511,"Public"
"California State UniversitySan Bernardino",34.182987,-117.322508,"Public"
"California State Polytechnic UniversityPomona",34.054273,-117.819019,"Public"
"California State UniversityChico",39.728003,-121.846333,"Public"
"California State UniversityDominguez Hills",33.86524,-118.259316,"Public"
"California State UniversityFresno",36.814477,-119.748258,"Public"
"California State UniversityFullerton",33.883627,-117.885349,"Public"
"California State UniversityEast Bay",37.65707,-122.058073,"Public"
"California State UniversityLong Beach",33.782752,-118.1123,"Public"
"California State UniversityLos Angeles",34.066927,-118.168965,"Public"
"California State UniversityNorthridge",34.23671,-118.526817,"Public"
"California State UniversitySacramento",38.55745,-121.42194,"Public"
"University of CaliforniaBerkeley",37.871969,-122.260423,"Public"
"University of CaliforniaDavis",38.539895,-121.751958,"Public"
"University of CaliforniaIrvine",33.648434,-117.841248,"Public"
"University of CaliforniaLos Angeles",34.068892,-118.443901,"Public"
"University of CaliforniaRiverside",33.97588,-117.331098,"Public"
"University of CaliforniaSan Diego",32.876598,-117.237793,"Public"
"University of CaliforniaSan Francisco",37.762736,-122.458049,"Public"
"University of CaliforniaSanta Barbara",34.416281,-119.846404,"Public"
"University of CaliforniaSanta Cruz",36.997258,-122.067993,"Public"
"California Christian College",36.75031,-119.711208,"Private"
"California Institute of the Arts",34.393337,-118.567303,"Private"
"The California Maritime Academy",38.069061,-122.231551,"Public"
"California Western School of Law",32.72194,-117.162597,"Private"
"Chapman University",33.793678,-117.851481,"Private"
"Charles R Drew University of Medicine and Science",33.925658,-118.242791,"Private"
"Concordia UniversityIrvine",33.6535,-117.81063,"Private"
"San Diego Christian College",32.84281,-116.978151,"Private"
"Church Divinity School of the Pacific",37.876169,-122.261391,"Private"
"Claremont Graduate University",34.103778,-117.712394,"Private"
"Claremont McKenna College",34.102323,-117.706593,"Private"
"Coleman University",32.821962,-117.136493,"Private"
